bone,a rigid part of the skeleton,Injuries and body parts
boneheadi,fragment ("bone head I"?),,
boney,slang for Napoleon Bonaparte,Victorian slang and social context
bonfide,in good faith (Latin),General use
bonnet,a woman's hat; also car hood,General use
bonniest,Scottish superlative of "bonny",General use
bonny,attractive or lively (Scottish),General use
bony,full of bones; thin,Injuries and body parts
boodle,slang for money,Victorian slang and social context
bookcase,a piece of furniture for holding books,General use
booked,reserved (past tense),General use
bookingoffice,a place where tickets are sold,Locations and environments
booklined,furnished with bookshelves,General use
bookmaking,the business of taking bets,Victorian slang and social context
bookone,fragment ("book one"?),,
bookshop,a store that sells books,Locations and environments
bookwork,work involving books or records,General use
bookworm,a person who reads a lot,Victorian slang and social context
boomed,sounded loudly (past tense),General use
booming,loud and deep (present participle),General use
boone,Daniel Boone; American frontiersman,Victorian slang and social context
booted,wearing boots; also kicked (past tense),General use
bootlace,a shoelace,Clothing and personal items
bootlaces,plural of bootlace,Clothing and personal items
bootmaker,a person who makes boots,Victorian slang and social context
bootmark,a mark left by a boot,Physical evidence
bootmarks,plural of bootmark,Physical evidence
booty,plunder; also informal for buttocks,General use
bordeaux,a wine or city in France,Locations and environments
border,a boundary; also edge,General use
bordered,has a border (past tense),General use
bordering,adjacent to (present participle),General use
borderland,a region near a border,Locations and environments
borders,plural of border,General use
bored,uninterested (past tense),General use
boring,uninteresting (present participle),General use
borings,material removed by drilling,Physical evidence
borka,possibly a typo of "burka",,
borkgenius,likely a typo or nonsense,,
borks,plural of bork? — nonsense,,
born,came into life (past participle),General use
borough,a town or district,Locations and environments
borrow,to take with intent to return,General use
borrowed,took temporarily (past tense),General use
boss,a leader; also to dominate,Victorian slang and social context
botanical,relating to plants,General use
botany,the study of plants,General use
botanyvariable,fragment ("botany variable"?),,
bother,to annoy,General use
bothered,annoyed (past tense),General use
bothers,annoyances or worries,General use
bottles,plural of bottle,General use
boulder,a large rock,General use
bouldersprinkled,scattered with boulders,General use
boulevard,a wide street,Locations and environments
bounce,to rebound; also to reject,General use
boundary,a limit or edge,General use
bounded,leaped; also restricted (past tense),General use
bounding,leaping (present participle),General use
bounds,plural of bound; also limits,General use
bouquet,a bunch of flowers; also a fragrance,General use
bourgeois,relating to the middle class,Victorian slang and social context
bovingtons,likely a fictional or rare surname,Victorian slang and social context
bowery,a district in New York City,Locations and environments
bowing,stooping or curtsying (present participle),General use
bowl,a round dish; also to roll,General use
bowlingalley,a place for bowling,Locations and environments
bowls,plural of bowl,General use
bowlshaped,shaped like a bowl,General use
bows,plural of bow; also third-person singular of "bow",General use
bowwindow,a window that projects from a wall,General use
boxan,likely a typo,,
boxed,put in a box (past tense),General use
boxer,a person who boxes; also a breed of dog,General use
boxers,plural of boxer,General use
boxhis,fragment ("box his"?),,
boxing,the sport of fighting with fists,General use
boxroom,a small room for storage,Locations and environments
boxthis,fragment ("box this"?),,
boyish,like a boy,General use
brace,a support; also to prepare oneself,General use
braced,prepared or supported (past tense),General use
bracelets,jewelry worn on the wrist,Clothing and personal items
braces,underwear suspenders; also supports,Clothing and personal items
bracing,refreshing; also supporting (present participle),General use
bracken,a type of fern,General use
brackenstallit,fragment ("Brackenstall it"?),,
brackenstalls,plural of Brackenstall (surname),Victorian slang and social context
bracket,a support; also punctuation,General use
bracketyou,fragment ("bracket you"?),,
bradford,a city in Yorkshire,Locations and environments
bradley,a surname,Victorian slang and social context
bradleys,plural of Bradley,Victorian slang and social context
bradshaw,a railway timetable; also a surname,Victorian slang and social context
brag,to boast,General use
brainattic,Holmes's metaphor for memory storage,General use
brainfever,19th-century term for meningitis or encephalitis,Injuries and body parts
braining,hitting on the head (archaic),Injuries and body parts
brainwork,mental labor,General use
brainworkers,plural of brainworker,General use
brakes,plural of brake; also stopping devices,General use
bramble,a thorny bush,General use
bramblecovered,covered with brambles,General use
brambles,plural of bramble,General use
brambletye,likely a fictional or rare place name,Locations and environments
branched,divided into branches (past tense),General use
branching,dividing into parts (present participle),General use
brand,a type of product; also to mark with a hot iron,General use
branded,marked with a brand (past tense),General use
brandybottle,a bottle containing brandy,Substances and poisons
brandyflask,a flask containing brandy,Substances and poisons
brassbound,adorned with brass,General use
brasswork,ornamental work made of brass,General use
brassy,like brass; also vulgar,General use
bravado,showy boldness,General use
brave,courageous,General use
braved,faced with courage (past tense),General use
bravely,in a brave manner,General use
bravery,courage,General use
braves,plural of brave; also Native American warriors,General use
bravest,superlative of brave,General use
braving,facing danger (present participle),General use
bravo,an exclamation of approval,General use
brawl,a noisy fight,Crime scene objects
brawls,plural of brawl,Crime scene objects
brawny,strong and muscular,General use
brazen,bold and shameless,General use
brazier,a container for burning coals,General use
brazils,archaic plural of Brazil,Locations and environments
breach,a break or violation,Crime scene objects
breaches,plural of breach,Crime scene objects
bread,a staple food made from flour,General use
breadcrumbs,small pieces of bread,Physical evidence
breadth,width,General use
breakdown,a failure or collapse,General use
breakers,plural of breaker; also waves,General use
breakfasted,ate breakfast (past tense),General use
breakfastroom,a room for eating breakfast,Locations and environments
breakfasts,plural of breakfast,General use
breakfasttable,the table where breakfast is eaten,General use
breakfasttime,the time for breakfast,General use
breakneck,extremely fast,General use
breaks,plural of break; also third-person singular of "break",General use
breakwater,a structure to protect a shore,Locations and environments
breasthigh,reaching to the height of the chest,General use
breastpin,a pin worn on the chest,Clothing and personal items
breastpocket,a pocket in the breast of a jacket,Clothing and personal items
breastthat,fragment ("breast that"?),,
breatha,fragment ("breath a"?),,
breathe,to inhale and exhale,General use
breathed,inhaled/exhaled (past tense),General use
breathings,plural of breathing,General use
breathless,without breath; also excited,General use
breathlessly,in a breathless manner,General use
breathlessness,the state of being breathless,Injuries and body parts
breckinridge,a surname,Victorian slang and social context
bred,raised or fathered (past tense of breed),General use
breech,the rear part of a gun; also buttocks,General use
breeches,short trousers worn in the 18th–19th centuries,Clothing and personal items
breechlock,a type of gun mechanism,Weapons and projectiles
breed,to produce offspring,General use
breeding,upbringing; also reproduction,General use
breeze,a light wind,General use
breezes,plural of breeze,General use
brenda,a female given name,General use
brew,to make beer; also a cup of tea,General use
brewed,prepared (past tense),General use
brewer,a person who makes beer,Victorian slang and social context
brewing,preparing beer (present participle),General use
briar,a type of shrub; also a pipe made from it,Clothing and personal items
briarbrae,a hill covered with briar,Locations and environments
briar root,pipe material,Clothing and personal items
bribe,something given to influence someone,Crime scene objects
bribed,corrupted with a bribe (past tense),Crime scene objects
brickish,somewhat like brick,General use
bricks,plural of brick,General use
brickwork,construction made of bricks,General use
bridal,relating to a bride,General use
bride,a woman getting married,Victorian slang and social context
bridegroom,a man getting married,Victorian slang and social context
brides,plural of bride,Victorian slang and social context
bridges,plural of bridge,General use
bridle,a headgear for a horse,General use
brief,short; also a summary,General use
briefly,in a short time,General use
brierroot,variant spelling of "briar root",Clothing and personal items
brig,a two-masted sailing ship,General use
brigade,a group of soldiers,General use
brighten,to make brighter,General use
brightened,illuminated or improved (past tense),General use
brightening,illuminating (present participle),General use
brighter,more bright,General use
brightest,most bright,General use
brightlooking,appearing intelligent or alert,General use
brightness,the quality of being bright,General use
brighton,a seaside resort in England,Locations and environments
brilliancy,brightness; also intellectual brilliance,General use
brilliantly,in a brilliant manner,General use
brim,the edge of a cup or hat,General use
brims,plural of brim,General use
brindled,marked with streaks or stripes,General use
brink,the edge of something,General use
brisk,lively and active,General use
brisker,more brisk,General use
briskest,most brisk,General use
briskly,in a brisk manner,General use
bristle,a stiff hair; also to react angrily,General use
bristled,stood on end; became angry (past tense),General use
bristling,standing on end (present participle),General use
bristol,a city in southwest England,Locations and environments
britain,the United Kingdom,Locations and environments
britannia,a personification of Britain,Victorian slang and social context
britannica,Encyclopaedia Britannica,General use
briton,a native of Britain,Victorian slang and social context
broach,to raise a topic; also a tool,General use
broadbeamed,having a wide beam; also broad-shouldered,General use
broadbrimmed,with a wide brim ,Clothing and personal items
broadcloth,a fine woolen fabric,Clothing and personal items
broadened,expanded (past tense),General use
broader,more broad,General use
broadest,most broad,General use
broadish,somewhat broad,General use
broadpointed,with a wide point,General use
broads,plural of broad,General use
broadshouldered,having wide shoulders,General use
brochure,a small informational booklet,General use
broderick,a surname,Victorian slang and social context
brokenbacked,having a bent or broken back,General use
brokenhearted,deeply sad,General use
broker,a person who buys/sells on commission,Victorian slang and social context
brokers,plural of broker,Victorian slang and social context
bromley,a town in South London,Locations and environments
bronze,an alloy of copper and tin; also a color,General use
bronzecoloured,of a bronze color,General use
bronzed,tinted like bronze,General use
bronzing,the process of giving a bronze finish,General use
brooch,a decorative pin worn on clothing,Clothing and personal items
brooding,thoughtful or gloomy (present participle),General use
brook,a small stream,Locations and environments
brooklyn,a borough of New York City,Locations and environments
brooks,plural of brook,Locations and environments
brotherfor,fragment ("brother for"?),,
brotherhood,a group of brothers or allies,General use
brotherinlaw,a sibling of one's spouse,Victorian slang and social context
broughams,a type of closed carriage,Clothing and personal items
browbeat,to intimidate,General use
browbeaten,intimidated (past tense),General use
brownandwhite,marked with brown and white,General use
brownbacked,having a brown back,General use
browners,likely a surname,Victorian slang and social context
brownish,somewhat brown,General use
brownpaper,wrapping paper of brown color,Physical evidence
browns,plural of brown,General use
bruise,a mark from injury,Injuries and body parts
bruises,plural of bruise,Injuries and body parts
brunette,a woman with brown hair,Victorian slang and social context
bruntons,likely a surname,Victorian slang and social context
brushed,cleaned or stroked (past tense),General use
brushes,plural of brush,General use
brushing,cleaning (present participle),General use
brusque,blunt in manner,General use
brusquely,in a blunt manner,General use
brussels,the capital of Belgium,Locations and environments
brutal,cruel and harsh,General use
brutality,cruelty,General use
brutish,like a brute; stupid and cruel,General use
bs,likely a typo or fragment,,
bubbled,formed bubbles (past tense),General use
bubbling,forming bubbles (present participle),General use
buck,a male deer; also slang for dollar,General use
bucket,a container for carrying liquids,General use
buckets,plural of bucket,General use
buckle,a fastener for belts,General use
buckles,plural of buckle,Clothing and personal items
buckshot,small lead pellets used in shotguns,Weapons and projectiles
buckwheat,a type of grain,General use
bud,a flower in early stage,General use
buda,part of Budapest Hungary,Locations and environments
budapesth,old spelling of Budapest,Locations and environments
buddha,the founder of Buddhism,Victorian slang and social context
buddhism,the religion founded by Buddha,Victorian slang and social context
budding,developing (present participle),General use
budge,to move slightly,General use
budges,moves slightly (third-person singular),General use
budget,a financial plan,General use
buffalo,a large bovine animal,General use
buffaloes,plural of buffalo,General use
buffet,a meal with self-service; also a blow,General use
buffs,plural of buff; also enthusiasts,General use
bughouse,crazy; also a place for insects,General use
buglecalls,likely a typo,,
build,to construct,General use
builder,a person who constructs,Victorian slang and social context
buildings,plural of building,Locations and environments
buildingsthe,fragment ("buildings the"?),,
bulbous-sheaded,having a large round head,General use
bulge,a swelling outward,General use
bulk,the size or mass of something,General use
bull,a male bovine; also a policeman (slang),Victorian slang and social context
bulldog,a breed of dog; also tenacious person,General use
bulletpocks,scars from bullet wounds,Injuries and body parts
bullets,plural of bullet,Weapons and projectiles
bullied,tormented (past tense),General use
bullier,more bullying,General use
bullion,gold or silver in bulk,Physical evidence
bull-necked,having a thick short neck,General use
bullocks,plural of bullock (young bull),General use
bullseye,a target center; also a type of glass,General use
bully,a person who intimidates,Victorian slang and social context
bullying,intimidating (present participle),General use
bulwark,a defensive wall; also protection,General use
bumper,a car part; also a full glass,General use
bumping,striking (present participle),General use
bumptious,overly self-assertive,General use
bunch,a group or cluster,General use
bunched,clustered together (past tense),General use
bundled,gathered into a bundle (past tense),General use
bundles,plural of bundle,General use
bundlethe,fragment ("bundle the"?),,
bungalow,a single-story house,Locations and environments
bungalows,plural of bungalow,Locations and environments
bungler,a person who makes mistakes,General use
bungling,acting incompetently (present participle),General use
bunk,nonsense; also a bed in a cabin,General use
bunsen,a Bunsen burner, used in chemistry,Substances and poisons
burden,a load; also a duty,General use
burdens,plural of burden,General use
burglarand,fragment ("burglar and"?),,
burglaries,plural of burglary,Crime scene objects
burglarproof,designed to resist burglary,General use
burgle,to commit burglary,Crime scene objects
burgled,committed burglary (past tense),Crime scene objects
burgling,committing burglary (present participle),Crime scene objects
burial,the act of burying a body,General use
burke,to murder secretly; also "Burke and Hare",Crime scene objects
burly,large and strong,General use
burn,to be on fire; also to injure with heat,Injuries and body parts
burnedout,exhausted or destroyed by fire,General use
burner,a device that produces a flame,Substances and poisons
burners,plural of burner,Substances and poisons
burnet,a surname,Victorian slang and social context
burnets,plural of burnet,Victorian slang and social context
burnished,shined or polished,General use
burns,plural of burn; also surname,Injuries and body parts
burnt,cooked or injured by fire (past tense),Injuries and body parts
burnwell,likely a fictional or rare name,Locations and environments
burr,a rough edge; also a speech impediment,General use
burrow,a hole made by an animal,Locations and environments
burrowing,digging (present participle),General use
burrows,plural of burrow,Locations and environments
bursting,exploding or swelling (present participle),General use
bursts,plural of burst; also third-person singular of "burst",General use
bury,to place in the ground,General use
burying,placing underground (present participle),General use
bus,a large motor vehicle for passengers,General use
bush,a shrub; also uncultivated land,Locations and environments
bushman,a man living in the wilderness,Victorian slang and social context
bushmen,plural of bushman,Victorian slang and social context
bushy,full of bushes; also thick,General use
busied,kept busy (past tense),General use
busier,more busy,General use
busiest,most busy,General use
busily,in a busy manner,General use
businessand,fragment ("business and"?),,
businesslike,efficient and professional,General use
businessshe,fragment ("business she"?),,
busses,plural of bus,General use
busshe,fragment ("buss she"?),,
bustle,a framework worn under a skirt; also activity,General use
bustled,moved briskly (past tense),General use
bustling,full of activity (present participle),General use
bustthe,fragment ("bust the"?),,
busybody,a person who meddles in others' affairs,Victorian slang and social context
butchers,plural of butcher,Victorian slang and social context
butlers,plural of butler,Victorian slang and social context
butt,a target; also to intrude,General use
butted,ran into; also interrupted (past tense),General use
buttend,likely a typo of "butt end",,
butter,a dairy spread,General use
butterdish,a dish for holding butter,General use
butterdishes,plural of butterdish,General use
butterflies,plural of butterfly,General use
butterfly,a flying insect; also a flittering person,General use
butterflynet,a net for catching butterflies,General use
buttoned,fastened with buttons (past tense),Clothing and personal items
buttoning,fastening (present participle),Clothing and personal items
buttons,plural of button,Clothing and personal items
buying,purchasing (present participle),General use
buzz,a low humming sound,General use
buzzard,a bird of prey,General use
buzzards,plural of buzzard,General use
buzzed,hummed or flew quickly (past tense),General use
buzzing,humming (present participle),General use
bygone,a thing of the past,General use
bygones,plural of bygone,General use
bystreets,side streets,General use
byways,side paths or methods,General use
byword,a byname; also a proverb,Victorian slang and social context
c,letter of the alphabet; also "circa",General use
cabaret,a nightclub with entertainment,Victorian slang and social context
cabbage,a leafy vegetable,General use
cabbing,working as a cab driver (present participle),Victorian slang and social context
cabby,a slang term for a cab driver,Victorian slang and social context
cabinets,plural of cabinet,General use
cable,a wire; also a telegram,General use
cabled,sent a telegram (past tense),General use
cablegram,a telegram,General use
cabmans,plural of cabman,Victorian slang and social context
cabowners,plural of cab owner,Victorian slang and social context
cabs,plural of cab,General use
cabul,archaic spelling of Kabul Afghanistan,Locations and environments
cadaverous,like a corpse; gaunt,Injuries and body parts
cadet,a trainee officer,Victorian slang and social context
caf,likely short for café,Locations and environments
cage,a confined space for animals,General use
caged,confined in a cage (past tense),General use
cairns,a city in Scotland; also a pile of stones,Locations and environments
cajoled,persuaded with flattery (past tense),General use
cake,a sweet baked dessert,General use
cakes,plural of cake,General use
cal,short for California or calendar,General use
calamity,a disaster,General use
calculate,to compute,General use
calculated,computed or planned (past tense),General use
calculatingmachine,an early mechanical computer,Detection and investigation terms
calculation,the process of computing,General use
calculations,plural of calculation,General use
calcutta,old name for Kolkata India,Locations and environments
caldron,old spelling of cauldron,General use
calendar,a chart of days and months,General use
calf,the young of a cow; also part of the leg,Injuries and body parts
california,a US state,Locations and environments
californian,a person from California,Victorian slang and social context
callers,plural of caller,General use
callosities,hardened areas of skin,Injuries and body parts
callous,emotionally hardened,General use
calls,plural of call; also third-person singular of "call",General use
calmer,more calm,General use
calmly,in a calm manner,General use
calmness,the quality of being calm,General use
caltrops,a spiked device to stop horses or vehicles,Weapons and projectiles
calves,plural of calf,Injuries and body parts
cam,a rotating machine part,General use
cambridgeshire,a county in England,Locations and environments
camden,a district in London,Locations and environments
camel,a desert animal,General use
cameos,engraved stones; also brief appearances,General use
camera,a device for taking photographs,Physical evidence
camp,a temporary shelter,Locations and environments
campaigner,a person who leads a campaign,Victorian slang and social context
campbed,a folding bed,General use
campden,likely refers to Campden Hill London,Locations and environments
